PLT_CN,SUBP,SUBPLOT_CN,FPAG
24152069010900,1,24152094010900,CHS6
24152069010900,4,24152100010900,CHS6
24150101010900,1,24150121010900,CHF1
24150101010900,2,24150122010900,CHF1
24150101010900,3,24150123010900,CHF1
24150101010900,4,24150124010900,CHF1
24149957010900,2,24149978010900,CHS1
24149957010900,3,24149979010900,CHS1
24149957010900,1,24149977010900,CHS1
24149957010900,4,24149980010900,CHS1
22398239010497,1,22698093010497,CFS2
22398239010497,2,22698094010497,CFS2
22398239010497,3,22698095010497,CFS2
22398239010497,4,22698096010497,CFS2
24149614010900,1,24149630010900,CFS2
24149614010900,2,24149631010900,CFS2
24149614010900,3,24149632010900,CFS2
24149614010900,4,24149633010900,CFS2
24151714010900,1,24151741010900,CHF1
24151714010900,2,24151743010900,CHF1
24151714010900,3,24151744010900,CHF1
24149445010900,1,24149466010900,CHF1
24149445010900,2,24149467010900,CHF1
24149445010900,3,24149468010900,CHF1
24150481010900,3,24150521010900,CHS5
24150481010900,4,24150523010900,CHS5
24150481010900,1,24150514010900,CHS5
22398237010497,2,22698072010497,HA
22398238010497,4,22698087010497,CMS2
22398238010497,3,22698086010497,CMS2
22398238010497,2,22698084010497,CMS2
22398234010497,1,22698004010497,HBS1
22398234010497,2,22698006010497,HBS1
22398237010497,4,22698075010497,CMS2
22398237010497,1,22698070010497,CMS2
22398237010497,3,22698073010497,CMS2
22398236010497,2,22698044010497,CHS5
24150326010900,2,24150354010900,CFS3
24150792010900,2,24150805010900,CFS2
24150792010900,3,24150806010900,CFS2
24150792010900,4,24150807010900,CFS2
24150792010900,1,24150804010900,CFS2
24151506010900,1,24151523010900,CHF1
24151506010900,2,24151525010900,CHF1
24151506010900,3,24151527010900,CHF1
24151506010900,4,24151529010900,CHF1
22398235010497,2,22698029010497,CHF1
22398235010497,3,22698031010497,CHF1
24152479010900,2,24152505010900,CHS1
24152479010900,4,24152509010900,CHS1
24152479010900,1,24152504010900,CHS1
24152925010900,2,24152953010900,CHF1
24152925010900,1,24152951010900,CHF1
24152241010900,4,24152278010900,CHF1
24152241010900,2,24152274010900,CHF1
24152642010900,2,24152658010900,CHS1
24152642010900,3,24152659010900,CHS1
24152642010900,4,24152660010900,CHS1
24152642010900,1,24152657010900,CHS1
24183014010900,4,24183041010900,CFS1
24183014010900,1,24183038010900,CFS1
24183014010900,3,24183040010900,CFS1
24183014010900,2,24183039010900,CFS1
24182937010900,4,24182967010900,CHS1
24182570010900,1,24182586010900,CHF1
24182570010900,2,24182587010900,CHF1
24182570010900,3,24182588010900,CHF1
24182570010900,4,24182589010900,CHF1
24182090010900,1,24182105010900,CHS5
24182090010900,2,24182106010900,CHS5
24182090010900,3,24182107010900,CHS5
24182732010900,2,24182752010900,CHF1
24182732010900,3,24182753010900,CHF1
24182732010900,4,24182754010900,CHF1
24182732010900,1,24182751010900,CHF1
24184034010900,1,24184048010900,HBM1
24184034010900,3,24184050010900,HBM1
24184034010900,4,24184051010900,HBM1
24184034010900,2,24184049010900,HBM1
22398314010497,1,22695860010497,HX
22398314010497,3,22695863010497,HX
22398314010497,4,22695864010497,HX
22398314010497,2,22695862010497,CFF4
22398315010497,1,22695895010497,CFF3
22398315010497,3,22695899010497,CFF3
22398315010497,4,22695900010497,CFF3
24181879010900,1,24181898010900,CHF1
24181879010900,2,24181899010900,CHF1
24181879010900,3,24181900010900,CHF1
24181879010900,4,24181901010900,CHF1
24183554010900,2,24183573010900,CFS5
24183554010900,3,24183574010900,CFS5
24183554010900,4,24183575010900,CFS5
24183554010900,1,24183572010900,CFS5
24182317010900,4,24182333010900,CMS2
24182317010900,1,24182330010900,CMS2
24182317010900,2,24182331010900,CMS2
24182317010900,3,24182332010900,CMS2
24184344010900,1,24184369010900,CHF1
24184344010900,3,24184372010900,CHF1
24184344010900,2,24184370010900,CHF1
24184208010900,2,24184236010900,CHF1
24186246010900,3,24186278010900,CHF1
22398316010497,3,22695904010497,CFS2
22398316010497,1,22695902010497,CFS2
22398316010497,2,22695903010497,CFS2
22398316010497,4,22695905010497,CFS2
22398318010497,1,22695956010497,CMS2
22398318010497,2,22695958010497,CMS2
22398318010497,3,22695959010497,CMS2
22398318010497,4,22695960010497,CMS2
24195284010900,1,24195301010900,CMS3
24195284010900,2,24195304010900,CMS3
24186703010900,1,24186724010900,CMS2
24186703010900,2,24186725010900,CMS2
24186703010900,3,24186726010900,CMS2
24186703010900,4,24186727010900,CMS2
24185970010900,4,24186007010900,CHF1
24185970010900,2,24186002010900,CHF1
24185416010900,1,24185433010900,CFS2
24185416010900,2,24185434010900,CFS2
24185416010900,3,24185435010900,CFS2
24185416010900,4,24185436010900,CFS2
22398320010497,4,22695995010497,CHS1
22398320010497,1,22695992010497,CHS1
22398320010497,2,22695993010497,CHS1
22398320010497,3,22695994010497,CHS1
24186143010900,1,24186156010900,CCS2
24186143010900,2,24186157010900,CCS2
24186143010900,4,24186159010900,CCS2
24186143010900,3,24186158010900,CCS2
22398317010497,1,22695914010497,CHS5
22398317010497,3,22695920010497,CHS5
22398317010497,4,22695922010497,CHS5
22398322010497,3,22696026010497,CHF2
22398322010497,1,22696024010497,CHF2
22398322010497,2,22696025010497,CHF2
22398322010497,4,22696027010497,CHF2
24186459010900,3,24186485010900,CMS3
24186459010900,4,24186487010900,CMS3
24187148010900,1,24187165010900,CHF1
24187148010900,2,24187166010900,CHF1
24187148010900,4,24187168010900,CHF1
24187148010900,3,24187167010900,CHF1
22398323010497,1,22696037010497,CHS1
22398323010497,3,22696042010497,CHS1
22398323010497,4,22696043010497,CHS1
22398319010497,1,22695966010497,CFS2
22398319010497,2,22695967010497,CFS2
22398319010497,3,22695968010497,CFS2
22398319010497,4,22695969010497,CFS2
24192363010900,3,24192383010900,CHM1
24192363010900,4,24192384010900,CHM1
24192363010900,2,24192382010900,CHM1
24192363010900,1,24192381010900,CHM1
22398364010497,1,22696524010497,CMS2
22398364010497,2,22696526010497,CMS2
22398364010497,3,22696528010497,CMS2
22398364010497,4,22696529010497,CMS2
24169158010900,1,24169184010900,CMS3
24169158010900,4,24169190010900,CMS3
22398354010497,1,22696363010497,CHF1
22398354010497,2,22696364010497,CHF1
22398354010497,3,22696365010497,CHF1
22398354010497,4,22696366010497,CHF1
22398359010497,3,22696447010497,CFS2
22398359010497,1,22696445010497,CFS2
22398359010497,2,22696446010497,CFS2
22398359010497,4,22696448010497,CFS2
24193687010900,1,24193708010900,CMS3
24193687010900,2,24193709010900,CMS3
24193687010900,3,24193710010900,CMS3
24193687010900,4,24193711010900,CMS3
24193223010900,3,24193261010900,CHF1
24193223010900,4,24193262010900,CHF1
24193223010900,2,24193260010900,CHF1
24193223010900,1,24193259010900,CHF1
22398357010497,1,22696411010497,CHF1
22398357010497,2,22696412010497,CHF1
22398357010497,3,22696413010497,CHF1
22398357010497,4,22696414010497,CHF1
24193544010900,1,24193568010900,CHM1
24193544010900,3,24193571010900,CHM1
24193544010900,4,24193572010900,CHM1
24192177010900,1,24192201010900,CMS3
24192177010900,2,24192203010900,CMS3
24192177010900,4,24192206010900,CMS3
24194292010900,1,24194318010900,CHS6
24191871010900,1,24191900010900,CMS2
24191871010900,2,24191901010900,CMS2
24191871010900,3,24191902010900,CMS2
24191871010900,4,24191903010900,CMS2
22398353010497,2,22696351010497,CHS5
22398353010497,1,22696350010497,CHS5
22398353010497,3,22696352010497,CHS5
