CN,PLT_CN,CONDID,HABTYPCD,FPAG
24152071010900,24152069010900,1,CHS626,CHS6
24150103010900,24150101010900,1,CHF132,CHF1
24149959010900,24149957010900,1,CHS140,CHS1
22404379010497,22398239010497,1,CFS212,CFS2
24149616010900,24149614010900,1,CFS218,CFS2
24151717010900,24151714010900,1,CHF132,CHF1
24149447010900,24149445010900,1,CHF132,CHF1
24150483010900,24150481010900,1,CHS513,CHS5
24150491010900,24150481010900,4,CHS513,CHS5
22404356010497,22398237010497,2,HA,HA
22404372010497,22398238010497,1,CMS246,CMS2
22404373010497,22398238010497,2,CMS246,CMS2
22404338010497,22398234010497,1,HBS1,HBS1
22404355010497,22398237010497,1,CMS253,CMS2
22404353010497,22398236010497,1,CHS513,CHS5
24151156010900,24151150010900,2,CMS353,CMS3
24150331010900,24150326010900,2,CFS352,CFS3
24150794010900,24150792010900,1,CFS218,CFS2
24151508010900,24151506010900,1,CHF132,CHF1
24151510010900,24151506010900,2,CHF132,CHF1
22404344010497,22398235010497,2,CHF132,CHF1
24152481010900,24152479010900,1,CHS133,CHS1
24152928010900,24152925010900,1,CHF133,CHF1
24152243010900,24152241010900,1,CHF133,CHF1
24152644010900,24152642010900,1,CHS133,CHS1
24183016010900,24183014010900,1,CFS154,CFS1
24182946010900,24182937010900,3,CHS134,CHS1
24182572010900,24182570010900,1,CHF132,CHF1
24182093010900,24182090010900,1,CHS513,CHS5
24182095010900,24182090010900,2,CHS513,CHS5
24181673010900,24181671010900,1,CHS131,CHS1
24182734010900,24182732010900,1,CHF133,CHF1
24184036010900,24184034010900,1,HBM1,HBM1
22404962010497,22398314010497,1,HX,HX
22404963010497,22398314010497,2,CFF450,CFF4
22404974010497,22398315010497,1,CFF311,CFF3
24181881010900,24181879010900,1,CHF133,CHF1
24183556010900,24183554010900,1,CFS554,CFS5
24182320010900,24182317010900,1,CMS221,CMS2
24184346010900,24184344010900,1,CHF133,CHF1
24184213010900,24184208010900,2,CHF134,CHF1
24186254010900,24186246010900,3,CHF134,CHF1
22404990010497,22398318010497,2,CMS253,CMS2
22404978010497,22398316010497,1,CFS223,CFS2
22404989010497,22398318010497,1,CMS253,CMS2
24195286010900,24195284010900,1,CMS352,CMS3
24186705010900,24186703010900,1,CMS241,CMS2
24185976010900,24185970010900,2,CHF133,CHF1
24185418010900,24185416010900,1,CFS229,CFS2
22405015010497,22398320010497,1,CHS138,CHS1
24186146010900,24186143010900,1,CCS211,CCS2
24185915010900,24185902010900,4,HX,HX
22404984010497,22398317010497,1,CHS513,CHS5
22404985010497,22398317010497,2,CHS513,CHS5
22405027010497,22398322010497,1,CHF250,CHF2
24186464010900,24186459010900,2,CMS352,CMS3
24187150010900,24187148010900,1,CHF134,CHF1
22405028010497,22398323010497,1,CHS131,CHS1
22405012010497,22398319010497,1,CFS225,CFS2
24192365010900,24192363010900,1,CHM111,CHM1
22405348010497,22398364010497,1,CMS244,CMS2
24169161010900,24169158010900,1,CMS354,CMS3
22405274010497,22398354010497,1,CHF132,CHF1
22405308010497,22398359010497,1,CFS216,CFS2
24193689010900,24193687010900,1,CMS350,CMS3
24193225010900,24193223010900,1,CHF132,CHF1
22405291010497,22398357010497,1,CHF134,CHF1
24193546010900,24193544010900,1,CHM111,CHM1
24192179010900,24192177010900,1,CMS353,CMS3
24194294010900,24194292010900,1,CHS621,CHS6
24191874010900,24191871010900,1,CMS252,CMS2
22405260010497,22398353010497,1,CHS513,CHS5
24193057010900,24193055010900,1,CMS353,CMS3
24192563010900,24192561010900,1,CFS218,CFS2
22405284010497,22398356010497,1,CFS212,CFS2
22405323010497,22398361010497,1,CFS229,CFS2
22405294010497,22398358010497,1,CFS218,CFS2
22405330010497,22398362010497,1,CMS350,CMS3
24194799010900,24194797010900,1,CHF133,CHF1
24205545010900,24205541010900,2,CHF250,CHF2
24204975010900,24204972010900,1,CHF132,CHF1
24204498010900,24204496010900,1,CF,CF
24204500010900,24204496010900,2,CF,CF
24204731010900,24204728010900,1,CFS212,CFS2
24204980010900,24204972010900,3,CHF132,CHF1
24205543010900,24205541010900,1,CHF250,CHF2
24202305010900,24202303010900,1,CDS221,CDS2
24203699010900,24203697010900,1,CHS251,CHS2
24203701010900,24203697010900,2,CHS251,CHS2
24203075010900,24203073010900,1,CFS352,CFS3
22405434010497,22398371010497,1,CFS222,CFS2
24206056010900,24206054010900,1,CHF132,CHF1
22405440010497,22398372010497,1,CFS352,CFS3
22405427010497,22398370010497,1,CFS352,CFS3
22405466010497,22398374010497,1,CHF132,CHF1
22405467010497,22398374010497,2,CHS251,CHS2
24203379010900,24203376010900,1,CHF132,CHF1
24202792010900,24202790010900,1,CHF132,CHF1
24203892010900,24203890010900,1,CHF132,CHF1
24203894010900,24203890010900,2,CHF132,CHF1
24204123010900,24204109010900,4,HX,HX
22405465010497,22398373010497,1,CFS228,CFS2
24205292010900,24205290010900,1,CMS350,CMS3
22405470010497,22398375010497,1,CHF132,CHF1
24206280010900,24206277010900,1,CHS251,CHS2
22405461010497,22398626010497,1,CAS221,CAS2
24205864010900,24205862010900,1,CMS246,CMS2
22405407010497,22398369010497,1,CHF132,CHF1
24126721010900,24126717010900,2,CHS334,CHS3
24128603010900,24128601010900,1,CHS621,CHS6
22404087010497,22398209010497,1,CHS139,CHS1
13229218010497,13229216010497,1,CHS334,CHS3
24148992010900,24148990010900,1,CHS334,CHS3
24148209010900,24148207010900,1,CHS137,CHS1
24164828010900,24164825010900,1,CHS621,CHS6
24201663010900,24201661010900,1,CHS137,CHS1
24130282010900,24130280010900,1,CHS126,CHS1
24130028010900,24130026010900,1,CF,CF
24130030010900,24130026010900,2,CF,CF
22404119010497,22398210010497,1,CLS311,CLS3
24132614010900,24132612010900,1,CFS257,CFS2
24131132010900,24131124010900,3,CHS127,CHS1
24132400010900,24132394010900,2,CHF124,CHF1
24160725010900,24160723010900,1,CHS524,CHS5
24160955010900,24160953010900,1,CHF1,CHF1
24163066010900,24163060010900,2,CHMI-21,CHMI
24162425010900,24162423010900,1,CHF125,CHF1
13230133010497,13230130010497,1,CHF124,CHF1
22404593010497,22398263010497,1,CFS255,CFS2
22404497010497,22398252010497,1,CFS351,CFS3
24160444010900,24160442010900,1,CHF125,CHF1
22404539010497,22398258010497,1,CFS255,CFS2
22404574010497,22398260010497,1,CHF124,CHF1
24162610010900,24162608010900,1,CHF222,CHF2
22404517010497,22398255010497,1,CHS127,CHS1
22404525010497,22398256010497,1,CFF152,CFF1
24158619010900,24158617010900,1,CHS126,CHS1
24161554010900,24161552010900,1,CFS257,CFS2
22404506010497,22398254010497,1,CFS351,CFS3
22404581010497,22398261010497,1,CHF221,CHF2
24161341010900,24161339010900,1,CHS127,CHS1
24159362010900,24159360010900,1,CFS253,CFS2
24160342010900,24160339010900,1,CDS255,CDS2
24159857010900,24159855010900,1,CMS223,CMS2
24162191010900,24162189010900,1,CFS251,CFS2
24163245010900,24163243010900,1,CEF341,CEF3
24158494010900,24158488010900,2,CH,CH
22405175010497,22398341010497,1,CFS1-51,CFS1
24190532010900,24190530010900,1,CWS332,CWS3
22405191010497,22398346010497,1,CFS256,CFS2
22405145010497,22398335010497,1,CFS151,CFS1
24187986010900,24187984010900,1,CHS224,CHS2
24191161010900,24191159010900,1,CFRR,CFRR
22405149010497,22398336010497,1,CMS114,CMS1
22405219010497,22398348010497,1,CHF221,CHF2
22405185010497,22398344010497,1,CHF124,CHF1
24187327010900,24187325010900,1,CFS216,CFS2
22405234010497,22398350010497,1,CMS216,CMS2
22405128010497,22398333010497,1,CFS151,CFS1
22405118010497,22398330010497,1,CEF321,CEF3
24187757010900,24187755010900,1,CHC212,CHC2
24187759010900,24187755010900,2,CHC212,CHC2
22405109010497,22398329010497,1,CMS216,CMS2
22405168010497,22398339010497,1,CFS251,CFS2
24190839010900,24190837010900,1,CFS2-57,CFS2
24190841010900,24190837010900,2,CFS2-57,CFS2
